"row ID","Col0","Col1","Col2","Prediction (DecTree)"
"Row0","Ed Pednault","-","loser","-"
"Row1","Neela Khan","+","winner","+"
"Row2","Bir Bhanu","+","winner","+"
"Row3","Arlindo Oliveira","-","loser","-"
"Row4","Irina Tchoumatchenko","-","loser","-"
"Row5","Robert C. Holte","+","winner","+"
"Row6","Michele Sebag","+","winner","+"
"Row7","Jorg-Uwe Kietz","+","winner","+"
"Row8","Yoshifumi Sakai","+","winner","+"
"Row9","Thomas E. Kammeyer","-","loser","-"
"Row10","Yoav Freund","+","winner","+"
"Row11","R. Andrew McCallum","-","loser","-"
"Row12","Jonathan Gratch","+","winner","+"
"Row13","Margo Guertin","+","winner","+"
"Row14","Huw Roberts","+","winner","+"
"Row15","Sally Goldman","+","winner","+"
"Row16","Bhaskar Dasgupta","-","loser","-"
"Row17","Fernando Pereira","+","winner","+"
"Row18","Nina Mishra","+","winner","+"
"Row19","Wray Buntine","-","loser","-"
"Row20","William A. Greene","+","winner","+"
"Row21","Yolanda Gil","+","winner","+"
"Row22","Chris Drummond","-","loser","-"
"Row23","Claude Sammut","-","loser","-"
"Row24","Charles X. Ling","-","loser","-"
"Row25","Sanjay Jain","+","winner","+"
"Row26","Stefan Kramer","-","loser","-"
"Row27","Cristina Baroglio","-","loser","-"
"Row28","Dwight Schrute","+","loser","-"
"Row29","Leslie Pack Kaelbling","+","winner","+"
"Row30","Philip Chan","-","loser","-"
"Row31","Yishay Mansour","+","winner","+"
"Row32","Michael I. Jordan","+","winner","+"
"Row33","Patrick M. Murphy","+","winner","+"
"Row34","Karsten Verbeurgt","+","winner","+"
"Row35","Attilio Giordana","-","loser","-"
"Row36","Gerald F. DeJong","+","winner","+"
"Row37","Thomas Zeugmann","-","loser","-"
"Row38","Mandayam T. Suraj","+","winner","+"
"Row39","Michael Littman","+","winner","+"
"Row40","Shaul Markovitch","-","loser","-"
"Row41","Eric Allender","-","loser","-"
"Row42","Cullen Schaffer","+","winner","+"
"Row43","Roberto Piola","+","winner","+"
"Row44","Nader Bshouty","+","winner","+"
"Row45","Bruce A. MacDonald","-","loser","-"
"Row46","Kamal M. Ali","+","winner","+"
"Row47","Foster J. Provost","+","winner","+"
"Row48","Wolfgang Janko","+","winner","+"
"Row49","Seth Flanders","+","winner","+"
"Row50","Peter Bartlett","+","winner","+"
"Row51","Craig Knoblock","-","loser","-"
"Row52","Earl S. Harris Jr.","+","winner","+"
"Row53","Prasad Tadepalli","-","loser","-"
"Row54","Stan Matwin","-","loser","-"
"Row55","Pascal Koiran","+","winner","+"
"Row56","Sandra Panizza","+","winner","+"
"Row57","George Berg","+","winner","+"
"Row58","Stephen Kwek","-","loser","-"
"Row59","J. R. Quinlan","-","loser","-"
"Row60","Sebastian Seung","+","winner","+"
"Row61","Susan L. Epstein","+","winner","+"
"Row62","Priscilla Rasmussen","-","loser","-"
"Row63","Steven Minton","-","loser","-"
"Row64","Lance Riley","+","winner","+"
"Row65","Jose L. Balcazar","+","winner","+"
"Row66","William Sakas","+","winner","+"
"Row67","Claudio Facchinetti","-","loser","-"
"Row68","Vijay Raghavan","+","winner","+"
"Row69","Bob Evans","+","winner","+"
"Row70","Neil Berkman","+","winner","+"
"Row71","Masayuki Inaba","+","winner","+"
"Row72","Shai Ben-David","-","loser","-"
"Row73","Dan Roth","+","winner","+"
"Row74","Lisa Hellerstein","+","winner","+"
"Row75","Geoffrey Gordon","+","winner","+"
"Row76","Paul Vitanyi","+","winner","+"
"Row77","Anselm Blumer","-","loser","-"
"Row78","Jeff Jackson","+","winner","+"
"Row79","Steven W. Norton","-","loser","-"
"Row80","R. Bharat Rao","-","loser","-"
"Row81","Matthias Heger","+","winner","+"
"Row82","Nicolo Cesa-Bianchi","+","winner","+"
"Row83","David Montgomery","+","winner","+"
"Row84","Patricia J. Riddle","+","winner","+"
"Row85","J. Jeffrey Mahoney","-","loser","-"
"Row86","Kazushi Ikeda","+","winner","+"
"Row87","Thomas G. Dietterich","-","loser","-"
"Row88","Pang-Chieh Chen","+","winner","+"
"Row89","Paul Utgoff","+","winner","+"
"Row90","Joseph O'Sullivan","+","winner","+"
"Row91","Toshiyasu Matsushima","+","winner","+"
"Row92","Timothy P. Barber","+","winner","+"
"Row93","Phil Long","-","loser","-"
"Row94","Tal Grossman","+","winner","+"
"Row95","Donna Slonim","+","winner","+"
"Row96","Tatsuo Unemi","+","winner","+"
"Row97","Krishnan Pillaipakkamnatt","-","loser","-"
"Row98","Lorenza Saitta","+","winner","+"
