Ed Pednault,-,loser
Neela Khan,+,winner
Bir Bhanu,+,winner
Arlindo Oliveira,-,loser
Irina Tchoumatchenko,-,loser
Robert C. Holte,+,winner
Michele Sebag,+,winner
Jorg-Uwe Kietz,+,winner
Yoshifumi Sakai,+,winner
Thomas E. Kammeyer,-,loser
Yoav Freund,+,winner
R. Andrew McCallum,-,loser
Jonathan Gratch,+,winner
Margo Guertin,+,winner
Huw Roberts,+,winner
Sally Goldman,+,winner
Bhaskar Dasgupta,-,loser
Fernando Pereira,+,winner
Nina Mishra,+,winner
Wray Buntine,-,loser
William A. Greene,+,winner
Yolanda Gil,+,winner
Chris Drummond,-,loser
Claude Sammut,-,loser
Charles X. Ling,-,loser
Sanjay Jain,+,winner
Stefan Kramer,-,loser
Cristina Baroglio,-,loser
Dwight Schrute,+,loser
Leslie Pack Kaelbling,+,winner
Philip Chan,-,loser
Yishay Mansour,+,winner
Michael I. Jordan,+,winner
Patrick M. Murphy,+,winner
Karsten Verbeurgt,+,winner
Attilio Giordana,-,loser
Gerald F. DeJong,+,winner
Thomas Zeugmann,-,loser
Mandayam T. Suraj,+,winner
Michael Littman,+,winner
Shaul Markovitch,-,loser
Eric Allender,-,loser
Cullen Schaffer,+,winner
Roberto Piola,+,winner
Nader Bshouty,+,winner
Bruce A. MacDonald,-,loser
Kamal M. Ali,+,winner
Foster J. Provost,+,winner
Wolfgang Janko,+,winner
Seth Flanders,+,winner
Peter Bartlett,+,winner
Craig Knoblock,-,loser
Earl S. Harris Jr.,+,winner
Prasad Tadepalli,-,loser
Stan Matwin,-,loser
Pascal Koiran,+,winner
Sandra Panizza,+,winner
George Berg,+,winner
Stephen Kwek,-,loser
J. R. Quinlan,-,loser
Sebastian Seung,+,winner
Susan L. Epstein,+,winner
Priscilla Rasmussen,-,loser
Steven Minton,-,loser
Lance Riley,+,winner
Jose L. Balcazar,+,winner
William Sakas,+,winner
Claudio Facchinetti,-,loser
Vijay Raghavan,+,winner
Bob Evans,+,winner
Neil Berkman,+,winner
Masayuki Inaba,+,winner
Shai Ben-David,-,loser
Dan Roth,+,winner
Lisa Hellerstein,+,winner
Geoffrey Gordon,+,winner
Paul Vitanyi,+,winner
Anselm Blumer,-,loser
Jeff Jackson,+,winner
Steven W. Norton,-,loser
R. Bharat Rao,-,loser
Matthias Heger,+,winner
Nicolo Cesa-Bianchi,+,winner
David Montgomery,+,winner
Patricia J. Riddle,+,winner
J. Jeffrey Mahoney,-,loser
Kazushi Ikeda,+,winner
Thomas G. Dietterich,-,loser
Pang-Chieh Chen,+,winner
Paul Utgoff,+,winner
Joseph O'Sullivan,+,winner
Toshiyasu Matsushima,+,winner
Timothy P. Barber,+,winner
Phil Long,-,loser
Tal Grossman,+,winner
Donna Slonim,+,winner
Tatsuo Unemi,+,winner
Krishnan Pillaipakkamnatt,-,loser
Lorenza Saitta,+,winner
Usama Fayyad,-,loser
Jude Shavlik,+,winner
David Helmbold,+,winner
Grigoris Karakoulas,-,loser
Tom Hancock,+,winner
Drago Indjic,-,loser
Gary Weiss,+,winner
Frank Stephan,-,loser
Kenji Yamanishi,+,winner
Wan P. Chiang,+,winner
Yoram Singer,+,winner
Melinda T. Gervasio,+,winner
Kate Goelz,+,winner
Roni Khardon,+,winner
Nikolay Nikolaev,+,winner
George H. John,+,winner
Diana Gordon,+,winner
Claire Cardie,-,loser
Moshe Koppel,+,winner
Andy Bernard,+,loser
Marcos Salganicoff,+,winner
David W. Opitz,+,winner
Mark Changizi,+,winner
Lars Asker,+,winner
Dana Ron,+,winner
Andrey Burago,-,loser
Eddy Mayoraz,-,loser
Mark Schwabacher,+,winner
Carl H. Smith,+,winner
Wee Sun Lee,+,winner
Mario Marchand,+,winner
David Pierce,+,winner
Dan Oblinger,+,winner
Lyle H. Ungar,-,loser
Hiroshi Tanaka,+,winner
Johanne Morin,+,winner
Thomas Wengerek,-,loser
Mark W. Craven,+,winner
Tom Fawcett,+,winner
John R. Rose,+,winner
Richard A. Caruana,+,winner
Steven Salzberg,-,loser
Barak A. Pearlmutter,+,winner
Chris Darken,-,loser
Judy A. Franklin,+,winner
Xuemei Wang,+,winner
Nitin Indurkhya,+,winner
Oded Maron,-,loser
Takefumi Yamazaki,+,winner
Satinder Pal Singh,+,winner
Ron Kohavi,+,winner
Michael de la Maza,+,winner
Robert Sloan,+,winner
Chun-Nan Hsu,-,loser
Daniel Kortenkamp,+,winner
Ricard Gavalda,+,winner
Joe Suzuki,+,winner
James S. Royer,+,winner
Jyrki Kivinen,-,loser
Tapio Elomaa,+,winner
Michael Redmond,+,winner
Rich Maclin,+,winner
Jiarong Hong,+,winner
Janusz Wnek,+,winner
David B. Skalak,+,winner
Daniel Hennessy,+,winner
David Cohn,+,winner
Merrick L. Furst,+,winner
Lindley Darden,+,winner
Steve A. Chien,-,loser
Wai Lam,+,winner
Paul W. Goldberg,+,winner
Stephen Muggleton,-,loser
Jason Catlett,+,winner
Justinian Rosca,+,winner
Sreerama K. Murthy,-,loser
Richard S. Sutton,+,winner
Michael W. Barley,+,winner
Leslie Grate,+,winner
Nathalie Japkowicz,+,winner
Randolph Jones,+,winner
John Rachlin,+,winner
Moshe Leshno,+,winner
Emanuel Knill,-,loser
Sholom Weiss,-,loser
Darko Zupanic,+,winner
Thomas G. Spalthoff,-,loser
Michael Kearns,+,winner
Holly Yanco,+,winner
Olivier De Vel,-,loser
Tom Bylander,+,winner
Johannes Furnkranz,+,winner
Pat Langley,+,winner
Javed Aslam,+,winner
Jean Gabriel Ganascia,+,winner
Sean Slattery,+,winner
Michael A. meystel,+,winner
Brian D. Davidson,-,loser
David Gillman,+,winner
Matevz Kovacic,+,winner
Bala Kalyanasundaram,+,winner
Martin Kummer,+,winner
Manfred Warmuth,+,winner
David Mathias,+,winner
Brian Tester,-,loser
Nicolas Fiechter,+,winner
Aurora Perez,+,winner
Michael Scott,-,winner
Naoki Abe,+,winner
Kimmen Sjolander,+,winner
Jeffery Clouse,+,winner
Robert P. Daley,+,winner
William Gasarch,+,winner
Reinhard Blasig,+,winner
Malini Bhandaru,+,winner
Robert Schapire,+,winner
Gary M. Selzer,+,winner
Clare Bates Congdon,-,loser
Martinch Krikis,+,winner
John Case,+,winner
Lance Fortnow,+,winner
Lorien Y. Pratt,+,winner
Klaus P. Jantke,-,loser
Haralabos Athanassiou,+,winner
Bradley L. Whitehall,-,loser
Sridhar Mahadevan,-,loser
Craig Nevill-Manning,-,loser
Paul Fischer,+,winner
Hal Duncan,+,winner
Von-Wun Soo,+,winner
Bill Byrne,+,winner
Myriam Abramson,-,loser
Creed Bratton,+,loser
Minoru Asada,+,winner
Tom M. Mitchell,+,winner
Jean-Daniel Zucker,+,winner
Sonya Snedecor,+,winner
Glenn Silverstein,-,loser
Avrim Blum,-,loser
Scott E. Decatur,-,loser
Dana Angluin,+,winner
Wolfgang Maass,+,winner
Chidanand Apte,-,loser
Marko Grobelnik,+,winner
Mary Soon Lee,+,winner
Zhixiang Chen,-,loser
Mona Singh,+,winner
Justin Boyan,+,winner
Daniel L. Silver,+,winner
David W. Aha,+,winner
Robert S. Roos,+,winner
David Loewenstern,+,winner
Eric Baum,-,loser
John M. Zelle,+,winner
Arun Sharma,-,loser
Ronitt Rubinfeld,+,winner
Thomas Ellman,-,loser
Aaron Feigelson,+,winner
Harris Drucker,+,winner
Carla E. Brodley,+,winner
Alexander M. Meystel,-,loser
Maja Mataric,+,winner
Leonard Pitt,+,winner
Eyal Kushilevitz,-,loser
Long-Ji Lin,+,winner
Ameur Foued,-,loser
Antoine Cornuejols,-,loser
Welton Becket,+,winner
Haym Hirsh,+,winner
Hiroshi Motoda,+,winner
John Fischer,+,winner
George A. Drastal,+,winner
William Cohen,+,winner
Jing Peng,+,winner
Alma Whitten,-,loser
David Haussler,+,winner
Joel Ratsaby,+,winner
L. Thorne McCarty,-,loser
Chen K. Tham,-,loser
Kan Deng,+,winner
Russell Greiner,+,winner
Steffen Lange,-,loser
Andrew W. Moore,-,loser
Armand Prieditis,-,loser
Dunja Mladenic,+,winner
Jong-Hoon Oh,+,winner
Ken Lang,+,winner
Bernhard Pfahringer,+,winner
Ronald L. Rivest,+,winner
Robert Williamson,+,winner
Stuart Russell,-,loser
Andrew Y. Ng,-,loser
Efim Kinber,-,loser
David Finton,+,winner
Mark Staley,+,winner
Filippo Neri,+,winner
Jonathan Hodgson,+,winner
Dennis F. Kibler,+,winner
Michael J. Donahue,+,winner
